Y_pestis_Yp4003	Y_pestis_CO92	Similarity_Y_pestis_Yp4003.to.Y_pestis_CO92	Similarity_Y_pestis_CO92.to.Y_pestis_Yp4003
Yp4003_00001	gnl|YPES214092|GKDD-457-MONOMER	100.0	100.0
Yp4003_02960	gnl|YPES214092|GKDD-1064-MONOMER	100.0	100.0
Yp4003_02942	gnl|YPES214092|GKDD-1276-MONOMER	100.0	100.0
Yp4003_02945	gnl|YPES214092|GKDD-1275-MONOMER	100.0	100.0
Yp4003_02946	gnl|YPES214092|GKDD-1274-MONOMER	100.0	100.0
Yp4003_02947	gnl|YPES214092|GKDD-1273-MONOMER	100.0	100.0
Yp4003_02949	gnl|YPES214092|GKDD-1074-MONOMER	100.0	100.0
Yp4003_02951	gnl|YPES214092|GKDD-1073-MONOMER	100.0	100.0
Yp4003_02952	gnl|YPES214092|GKDD-1072-MONOMER	100.0	100.0
Yp4003_02953	gnl|YPES214092|GKDD-1071-MONOMER	100.0	100.0
Yp4003_02956	gnl|YPES214092|GKDD-1068-MONOMER	100.0	100.0
Yp4003_02957	gnl|YPES214092|GKDD-1067-MONOMER	100.0	100.0
Yp4003_02958	gnl|YPES214092|GKDD-1066-MONOMER	100.0	100.0
Yp4003_02959	gnl|YPES214092|GKDD-1065-MONOMER	100.0	100.0
Yp4003_02961	gnl|YPES214092|GKDD-1063-MONOMER	100.0	100.0
Yp4003_02940	gnl|YPES214092|GKDD-1278-MONOMER	100.0	100.0
Yp4003_02962	gnl|YPES214092|GKDD-1062-MONOMER	100.0	100.0
Yp4003_02963	gnl|YPES214092|GKDD-1061-MONOMER	100.0	100.0
Yp4003_02965	gnl|YPES214092|GKDD-1060-MONOMER	100.0	100.0
Yp4003_02966	gnl|YPES214092|GKDD-1059-MONOMER	100.0	100.0
Yp4003_02967	gnl|YPES214092|GKDD-1058-MONOMER	100.0	100.0
Yp4003_02968	gnl|YPES214092|GKDD-1057-MONOMER	100.0	100.0
Yp4003_02969	gnl|YPES214092|GKDD-1056-MONOMER	100.0	100.0
Yp4003_02970	gnl|YPES214092|GKDD-1055-MONOMER	100.0	100.0
Yp4003_02971	gnl|YPES214092|GKDD-1054-MONOMER	100.0	100.0
Yp4003_02972	gnl|YPES214092|GKDD-1053-MONOMER	100.0	100.0
Yp4003_02973	gnl|YPES214092|GKDD-1052-MONOMER	100.0	100.0
Yp4003_02974	gnl|YPES214092|GKDD-1051-MONOMER	100.0	100.0
Yp4003_02941	gnl|YPES214092|GKDD-1277-MONOMER	100.0	100.0
Yp4003_02939	gnl|YPES214092|GKDD-1279-MONOMER	100.0	100.0
Yp4003_02909	gnl|YPES214092|GKDD-363-MONOMER	100.0	100.0
Yp4003_02924	gnl|YPES214092|GKDD-1294-MONOMER	100.0	100.0
Yp4003_02911	gnl|YPES214092|GKDD-365-MONOMER	100.0	100.0
Yp4003_02912	gnl|YPES214092|GKDD-366-MONOMER	100.0	100.0
Yp4003_02913	gnl|YPES214092|GKDD-367-MONOMER	100.0	100.0
Yp4003_02914	gnl|YPES214092|GKDD-368-MONOMER	100.0	100.0
Yp4003_02915	gnl|YPES214092|GKDD-369-MONOMER	100.0	100.0
Yp4003_02916	gnl|YPES214092|GKDD-370-MONOMER	100.0	100.0
Yp4003_02917	gnl|YPES214092|GKDD-371-MONOMER	100.0	100.0
Yp4003_02919	gnl|YPES214092|GKDD-1299-MONOMER	100.0	100.0
Yp4003_02920	gnl|YPES214092|GKDD-1298-MONOMER	100.0	100.0
Yp4003_02921	gnl|YPES214092|GKDD-1297-MONOMER	100.0	100.0
Yp4003_02922	gnl|YPES214092|GKDD-1296-MONOMER	100.0	100.0
Yp4003_02923	gnl|YPES214092|GKDD-1295-MONOMER	100.0	100.0
Yp4003_02925	gnl|YPES214092|GKDD-1293-MONOMER	100.0	100.0
Yp4003_02938	gnl|YPES214092|GKDD-1280-MONOMER	100.0	100.0
Yp4003_02926	gnl|YPES214092|GKDD-1292-MONOMER	100.0	100.0
Yp4003_02927	gnl|YPES214092|GKDD-1291-MONOMER	100.0	100.0
Yp4003_02928	gnl|YPES214092|GKDD-1290-MONOMER	100.0	100.0
Yp4003_02929	gnl|YPES214092|GKDD-1289-MONOMER	100.0	100.0
Yp4003_02930	gnl|YPES214092|GKDD-1288-MONOMER	100.0	100.0
Yp4003_02931	gnl|YPES214092|GKDD-1287-MONOMER	100.0	100.0
Yp4003_02932	gnl|YPES214092|GKDD-1286-MONOMER	100.0	100.0
Yp4003_02933	gnl|YPES214092|GKDD-1285-MONOMER	100.0	100.0
Yp4003_02934	gnl|YPES214092|GKDD-1284-MONOMER	100.0	100.0
Yp4003_02935	gnl|YPES214092|GKDD-1283-MONOMER	100.0	100.0
Yp4003_02936	gnl|YPES214092|GKDD-1282-MONOMER	100.0	100.0
Yp4003_02937	gnl|YPES214092|GKDD-1281-MONOMER	100.0	100.0
Yp4003_02975	gnl|YPES214092|GKDD-1050-MONOMER	100.0	100.0
Yp4003_02976	gnl|YPES214092|GKDD-1049-MONOMER	100.0	100.0
Yp4003_02977	gnl|YPES214092|GKDD-1048-MONOMER	100.0	100.0
Yp4003_03024	gnl|YPES214092|GKDD-1432-MONOMER	100.0	100.0
Yp4003_03010	gnl|YPES214092|GKDD-2266-MONOMER	100.0	100.0
Yp4003_03013	gnl|YPES214092|GKDD-2269-MONOMER	100.0	100.0
Yp4003_03014	gnl|YPES214092|GKDD-2270-MONOMER	100.0	100.0
Yp4003_03015	gnl|YPES214092|GKDD-1423-MONOMER	100.0	100.0
Yp4003_03016	gnl|YPES214092|GKDD-1424-MONOMER	100.0	100.0
Yp4003_03017	gnl|YPES214092|GKDD-1425-MONOMER	100.0	100.0
Yp4003_03018	gnl|YPES214092|GKDD-1426-MONOMER	100.0	100.0
Yp4003_03019	gnl|YPES214092|GKDD-1427-MONOMER	100.0	100.0
Yp4003_03020	gnl|YPES214092|GKDD-1428-MONOMER	100.0	100.0
Yp4003_03021	gnl|YPES214092|GKDD-1429-MONOMER	100.0	100.0
Yp4003_03022	gnl|YPES214092|GKDD-1430-MONOMER	100.0	100.0
Yp4003_03023	gnl|YPES214092|GKDD-1431-MONOMER	100.0	100.0
Yp4003_03025	gnl|YPES214092|GKDD-1433-MONOMER	100.0	100.0
Yp4003_02978	gnl|YPES214092|GKDD-1047-MONOMER	100.0	100.0
Yp4003_03026	gnl|YPES214092|GKDD-1434-MONOMER	100.0	100.0
Yp4003_03027	gnl|YPES214092|GKDD-1435-MONOMER	100.0	100.0
Yp4003_03029	gnl|YPES214092|GKDD-1437-MONOMER	100.0	100.0
Yp4003_03030	gnl|YPES214092|GKDD-1438-MONOMER	100.0	100.0
Yp4003_03031	gnl|YPES214092|GKDD-1439-MONOMER	100.0	100.0
Yp4003_03032	gnl|YPES214092|GKDD-1440-MONOMER	100.0	100.0
Yp4003_03033	gnl|YPES214092|GKDD-1441-MONOMER	100.0	100.0
Yp4003_03034	gnl|YPES214092|GKDD-1442-MONOMER	100.0	100.0
Yp4003_03035	gnl|YPES214092|GKDD-1443-MONOMER	100.0	100.0
Yp4003_03036	gnl|YPES214092|GKDD-1444-MONOMER	100.0	100.0
Yp4003_03037	gnl|YPES214092|GKDD-1445-MONOMER	100.0	100.0
Yp4003_03038	gnl|YPES214092|GKDD-1446-MONOMER	100.0	100.0
Yp4003_03009	gnl|YPES214092|GKDD-2265-MONOMER	100.0	100.0
Yp4003_03008	gnl|YPES214092|GKDD-2264-MONOMER	100.0	100.0
Yp4003_03007	gnl|YPES214092|GKDD-2263-MONOMER	100.0	100.0
Yp4003_03006	gnl|YPES214092|GKDD-2262-MONOMER	100.0	100.0
Yp4003_02979	gnl|YPES214092|GKDD-1046-MONOMER	100.0	100.0
Yp4003_02980	gnl|YPES214092|GKDD-1045-MONOMER	100.0	100.0
Yp4003_02981	gnl|YPES214092|GKDD-1044-MONOMER	100.0	100.0
Yp4003_02982	gnl|YPES214092|GKDD-1043-MONOMER	100.0	100.0
Yp4003_02984	gnl|YPES214092|GKDD-2241-MONOMER	100.0	100.0
Yp4003_02985	gnl|YPES214092|GKDD-2242-MONOMER	100.0	100.0
Yp4003_02986	gnl|YPES214092|GKDD-2243-MONOMER	100.0	100.0
Yp4003_02987	gnl|YPES214092|GKDD-2244-MONOMER	100.0	100.0
Yp4003_02988	gnl|YPES214092|GKDD-2245-MONOMER	100.0	100.0
Yp4003_02989	gnl|YPES214092|GKDD-2246-MONOMER	100.0	100.0
Yp4003_02990	gnl|YPES214092|GKDD-2247-MONOMER	100.0	100.0
Yp4003_02991	gnl|YPES214092|GKDD-2248-MONOMER	100.0	100.0
Yp4003_02992	gnl|YPES214092|GKDD-2249-MONOMER	100.0	100.0
Yp4003_02993	gnl|YPES214092|GKDD-2250-MONOMER	100.0	100.0
Yp4003_02994	gnl|YPES214092|GKDD-2251-MONOMER	100.0	100.0
Yp4003_02995	gnl|YPES214092|GKDD-2252-MONOMER	100.0	100.0
