$Y_pestis_CO92_proteins	index	Description	fold_change_strain	Y_pestis_CO92	Similarity_Y_pestis_Yp4003.to.Y_pestis_CO92	Similarity_Y_pestis_CO92.to.Y_pestis_Yp4003
	KGA47898.1	 acriflavine resistance protein A [Yersinia pestis]	-0.706360835			
	KGA47909.1	 transcriptional regulator NrdR [Yersinia pestis]	-1.2077949159999999			
	KGA47911.1	 2-dehydropantoate 2-reductase family protein [Yersinia pestis]	-0.332319824			
	KGA47928.1	 hypothetical protein DJ56_3655 [Yersinia pestis]	-0.518407512			
	KGA48457.1	 malic enzyme, NAD binding domain protein [Yersinia pestis]	-0.314217905			
	KGA48477.1	 heme ABC exporter, ATP-binding protein CcmA [Yersinia pestis]	-2.0			
	KGA48500.1	 periplasmic binding domain protein [Yersinia pestis]	-1.777179209			
	KGA48966.1	 peptidase M48 family protein [Yersinia pestis]	-0.7168760590000001			
	KGA48972.1	 transketolase [Yersinia pestis]	-0.18383299			
	KGA48973.1	 YGGT family protein [Yersinia pestis]	-2.0			
	KGA48977.1	 agmatine deiminase [Yersinia pestis]	2.0			
	KGA50539.1	 aldo/keto reductase family protein [Yersinia pestis]	-0.243796166			
	KGA50772.1	 hypothetical protein DJ56_3797 [Yersinia pestis]	-2.0			
	KGA50793.1	 E3 ubiquitin-protein ligase ipaH9.8 [Yersinia pestis]	-2.0			
	KGA50799.1	 tRNA-guanine transglycosylase [Yersinia pestis]	2.0			
	KGA51667.1	 peptide chain release factor 1 [Yersinia pestis]	-0.98164066			
	KGA51682.1	 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Yersinia pestis]	2.0			
	KGA51728.1	 succinyl-CoA ligase [ADP-forming] subunit beta [Yersinia pestis]	-0.361360681			
	KGA51734.1	 oxoglutarate dehydrogenase (succinyl-transferring), E1 component [Yersinia pestis]	-0.20779203300000001			
	KGA51737.1	 Tol-Pal system beta propeller repeat protein TolB [Yersinia pestis]	-0.283080088			
	KGA51742.1	 dihydrolipoyllysine-residue succinyltransferase, E2 component of oxoglutarate dehydrogenase complex [Yersinia pestis]	-0.32141589			
	KGA51743.1	 grpE family protein [Yersinia pestis]	-0.299080946			
	KGA51749.1	 tol-pal system protein YbgF [Yersinia pestis]	2.0			
	KGA51750.1	 succinate dehydrogenase iron-sulfur subunit [Yersinia pestis]	-0.5930245789999999			
	KGA51755.1	 protein TolA [Yersinia pestis]	-2.0			
	KGA51756.1	 succinate dehydrogenase, flavoprotein subunit [Yersinia pestis]	-0.460866523			
	KGA51767.1	 acetolactate synthase, large subunit, biosynthetic type [Yersinia pestis]	-2.0			
	KGA51778.1	 cell division protein FtsZ [Yersinia pestis]	-0.234389645			
	KGA51786.1	 peptidoglycan synthase ftsI [Yersinia pestis]	-2.0			
	KGA51789.1	 UDP-N-acetylmuramoylalanine--D-glutamate ligase [Yersinia pestis]	2.0			
	KGA51793.1	 D-alanine--D-alanine ligase family protein [Yersinia pestis]	-0.740584413			
	KGA51871.1	 2-polyprenylphenol 6-hydroxylase [Yersinia pestis]	2.0			
	KGA51874.1	 glycerophosphoryl diester phosphodiesterase family protein [Yersinia pestis]	-2.0			
	KGA51883.1	 pectin degradation repressor protein kdgR [Yersinia pestis]	-0.427655451			
	KGA51886.1	 dicarboxylate symporter family protein [Yersinia pestis]	-0.44144019			
	KGA51937.1	 hypothetical protein DJ56_4192 [Yersinia pestis]	1.128052646			
	KGA51976.1	 beta-ketoacyl-acyl-carrier-protein synthase II [Yersinia pestis]	0.734399811			
	KGA51980.1	 ribonuclease, Rne/Rng family domain protein [Yersinia pestis]	-0.505509442			
	KGA52022.1	 coagulase/fibrinolysin [Yersinia pestis]	-1.159173			
	KGA52064.1	 ATP-dependent chaperone protein ClpB [Yersinia pestis]	-0.260443455			
	KGA52079.1	 poly(A) polymerase family protein [Yersinia pestis]	-0.9158529679999999			
