$Y_pestis_CO92_proteins	index	Description	GroupAmean (4003)	GroupAstdev	GroupBmean(4181)	GroupBstdev	abs tval	deg freedom	raw pval	adj pval	fdr	Y_pestis_CO92	Similarity_Y_pestis_Yp4003.to.Y_pestis_CO92	Similarity_Y_pestis_CO92.to.Y_pestis_Yp4003
GKDD-448-MONOMER	Yp4003_00010	Chaperone protein DnaK	37.625	5.8220906	41.666668	4.696872	2.0847683	34	0.04467193	0.04467193	0.66382486	gnl|YPES214092|GKDD-448-MONOMER	100.0	100.0
GKDD-834-MONOMER	Yp4003_00151	Lysine--tRNA ligase	3.0952382	1.300183	4.2727275	1.1037127	2.5551155	30	0.01592665	0.01592665	0.45513463	gnl|YPES214092|GKDD-834-MONOMER	100.0	100.0
GKDD-857-MONOMER	Yp4003_00175	Cell division protein ZapA	2.25	0.62158155	4.5	2.1213202	3.4499333	12	0.0048055733	0.0048055733	-1.7852705	gnl|YPES214092|GKDD-857-MONOMER	100.0	100.0
GKDD-3160-MONOMER	Yp4003_00297	"""Fumarate hydratase class I, aerobic"""	5.2916665	1.5736737	7.5833335	2.874918	3.1080542	34	0.0037917595	0.0037917595	-1.4086387	gnl|YPES214092|GKDD-3160-MONOMER	100.0	100.0
GKDD-3200-MONOMER	Yp4003_00340	Enolase	37.75	8.603588	31.083334	6.111961	2.3916662	34	0.02244826	0.02244826	0.5559686	gnl|YPES214092|GKDD-3200-MONOMER	100.0	100.0
GKDD-1763-MONOMER	Yp4003_00523	Cystine-binding periplasmic protein precursor	4.611111	2.0040808	3.0	0.8164966	2.416796	26	0.022974817	0.022974817	0.5506545	gnl|YPES214092|GKDD-1763-MONOMER	100.0	100.0
GKDD-627-MONOMER	Yp4003_00710	"""3,4-dihydroxy-2-butanone 4-phosphate synthase"""	2.375	0.7187953	3.4	1.6465453	2.1969104	24	0.037923023	0.037923023	0.65527457	gnl|YPES214092|GKDD-627-MONOMER	100.0	100.0
GKDD-289-MONOMER	Yp4003_00798	Tellurite resistance protein TerB	2.0	0.0	2.6	0.5477226	3.7996693	14	0.0019520833	0.0019520833	-0.725199	gnl|YPES214092|GKDD-289-MONOMER	100.0	100.0
GKDD-89-MONOMER	Yp4003_00862	Triosephosphate isomerase	7.625	3.5972514	11.333333	6.945677	2.1250618	34	0.040930077	0.040930077	0.6758011	gnl|YPES214092|GKDD-89-MONOMER	100.0	100.0
GKDD-3267-MONOMER	Yp4003_00880	Regulator of ribonuclease activity B	2.45	0.51041776	3.5833333	1.4433756	3.220374	30	0.0030727542	0.0030727542	-1.1415282	gnl|YPES214092|GKDD-3267-MONOMER	100.0	100.0
GKDD-1147-MONOMER	Yp4003_00942	Catalase	3.2666667	1.0327955	4.3333335	1.0327955	2.1380901	19	0.04571895	0.04571895	0.64092785	gnl|YPES214092|GKDD-1147-MONOMER	100.0	100.0
