Y_pestis_CO92	Y_pestis_Yp4003	Similarity_Y_pestis_CO92.to.Y_pestis_Yp4003
gnl|YPES214092|GKDD-100-MONOMER	Yp4003_03538	100.00
gnl|YPES214092|GKDD-1010-MONOMER	Yp4003_02339	100.00
gnl|YPES214092|GKDD-1011-MONOMER	Yp4003_02338	100.00
gnl|YPES214092|GKDD-1014-MONOMER	Yp4003_02335	100.00
gnl|YPES214092|GKDD-1027-MONOMER	Yp4003_04123	100.00
gnl|YPES214092|GKDD-103-MONOMER	Yp4003_03540	100.00
gnl|YPES214092|GKDD-1034-MONOMER	Yp4003_04028	100.00
gnl|YPES214092|GKDD-1035-MONOMER	Yp4003_04030	100.00
gnl|YPES214092|GKDD-104-MONOMER	Yp4003_03541	100.00
gnl|YPES214092|GKDD-1041-MONOMER	Yp4003_04037	100.00
gnl|YPES214092|GKDD-1042-MONOMER	Yp4003_04154	100.00
gnl|YPES214092|GKDD-1047-MONOMER	Yp4003_02978	100.00
gnl|YPES214092|GKDD-1048-MONOMER	Yp4003_02977	100.00
gnl|YPES214092|GKDD-1049-MONOMER	Yp4003_02976	100.00
gnl|YPES214092|GKDD-1051-MONOMER	Yp4003_02974	100.00
gnl|YPES214092|GKDD-1058-MONOMER	Yp4003_02967	100.00
gnl|YPES214092|GKDD-106-MONOMER	Yp4003_03543	100.00
gnl|YPES214092|GKDD-1062-MONOMER	Yp4003_02962	100.00
gnl|YPES214092|GKDD-1065-MONOMER	Yp4003_02959	100.00
gnl|YPES214092|GKDD-1067-MONOMER	Yp4003_02957	100.00
gnl|YPES214092|GKDD-107-MONOMER	Yp4003_03544	100.00
gnl|YPES214092|GKDD-1081-MONOMER	Yp4003_04043	100.00
gnl|YPES214092|GKDD-1084-MONOMER	Yp4003_04047	100.00
gnl|YPES214092|GKDD-1086-MONOMER	Yp4003_04049	100.00
gnl|YPES214092|GKDD-1088-MONOMER	Yp4003_03574	100.00
gnl|YPES214092|GKDD-1089-MONOMER	Yp4003_03573	100.00
gnl|YPES214092|GKDD-1096-MONOMER	Yp4003_03566	100.00
gnl|YPES214092|GKDD-1097-MONOMER	Yp4003_03565	100.00
gnl|YPES214092|GKDD-1100-MONOMER	Yp4003_03562	100.00
gnl|YPES214092|GKDD-1102-MONOMER	Yp4003_03559	100.00
gnl|YPES214092|GKDD-1103-MONOMER	Yp4003_03558	100.00
gnl|YPES214092|GKDD-111-MONOMER	Yp4003_03549	100.00
gnl|YPES214092|GKDD-1111-MONOMER	Yp4003_01096	55.14
gnl|YPES214092|GKDD-1120-MONOMER	Yp4003_00971	100.00
gnl|YPES214092|GKDD-1124-MONOMER	Yp4003_00967	100.00
gnl|YPES214092|GKDD-1127-MONOMER	Yp4003_00964	100.00
gnl|YPES214092|GKDD-1130-MONOMER	Yp4003_00961	100.00
gnl|YPES214092|GKDD-1135-MONOMER	Yp4003_00956	100.00
gnl|YPES214092|GKDD-1139-MONOMER	Yp4003_00950	100.00
gnl|YPES214092|GKDD-1146-MONOMER	Yp4003_00943	100.00
gnl|YPES214092|GKDD-1148-MONOMER	Yp4003_00941	100.00
gnl|YPES214092|GKDD-1155-MONOMER	Yp4003_00934	100.00
gnl|YPES214092|GKDD-1156-MONOMER	Yp4003_00933	100.00
gnl|YPES214092|GKDD-1167-MONOMER	Yp4003_02563	100.00
gnl|YPES214092|GKDD-1170-MONOMER	Yp4003_02567	100.00
gnl|YPES214092|GKDD-1173-MONOMER	Yp4003_02570	100.00
gnl|YPES214092|GKDD-1176-MONOMER	Yp4003_02573	100.00
gnl|YPES214092|GKDD-1178-MONOMER	Yp4003_02575	100.00
gnl|YPES214092|GKDD-1180-MONOMER	Yp4003_02577	100.00
gnl|YPES214092|GKDD-1183-MONOMER	Yp4003_02580	100.00
gnl|YPES214092|GKDD-1190-MONOMER	Yp4003_02587	100.00
gnl|YPES214092|GKDD-1194-MONOMER	Yp4003_02592	100.00
gnl|YPES214092|GKDD-1195-MONOMER	Yp4003_02594	100.00
gnl|YPES214092|GKDD-1201-MONOMER	Yp4003_02599	100.00
gnl|YPES214092|GKDD-1204-MONOMER	Yp4003_00629	100.00
gnl|YPES214092|GKDD-1205-MONOMER	Yp4003_00630	100.00
gnl|YPES214092|GKDD-1206-MONOMER	Yp4003_00631	100.00
gnl|YPES214092|GKDD-1208-MONOMER	Yp4003_00633	100.00
gnl|YPES214092|GKDD-1216-MONOMER	Yp4003_00643	100.00
gnl|YPES214092|GKDD-1223-MONOMER	Yp4003_00650	100.00
gnl|YPES214092|GKDD-1231-MONOMER	Yp4003_00658	100.00
