$FrameId	Row_ID	Description	fold_change_strain
GKDD-1151-MONOMER	KGA54665.1	 ecotin family protein [Yersinia pestis]	-1.207918333
GKDD-3748-MONOMER	KGA52789.1	 pyridine nucleotide-disulfide oxidoreductase family protein [Yersinia pestis]	2.256991494
GKDD-3913-MONOMER	KGA52674.1	 NAD(P)H binding domain of trans-2-enoyl-CoA reductase family protein [Yersinia pestis]	-1.250912625
GKDD-1008-MONOMER	KGA55557.1	 hypothetical protein DJ56_3580 [Yersinia pestis]	-3.152075496
GKDD-2608-MONOMER	KGA55377.1	 fatty oxidation complex, alpha subunit FadJ [Yersinia pestis]	-1.699429422
GKDD-2885-MONOMER	KGA54305.1	 ABC transporter family protein [Yersinia pestis]	-2.456335477
GKDD-3060-MONOMER	KGA52348.1	 ubiquinone oxidoreductase, Na(+)-translocating, C subunit [Yersinia pestis]	-1.4555849019999998
GKDD-3760-MONOMER	KGA52919.1	 acetylornithine deacetylase [Yersinia pestis]	-1.669261075
GKDD-1451-MONOMER	KGA55455.1	 4Fe-4S iron sulfur cluster binding s, NifH/frxC family protein [Yersinia pestis]	-0.833883023
GKDD-1514-MONOMER	KGA55398.1	 dihydroorotase, homodimeric type [Yersinia pestis]	1.826031491
GKDD-2738-MONOMER	KGA55594.1	 Fe-S protein assembly chaperone HscA [Yersinia pestis]	-1.8588702719999999
GKDD-2571-MONOMER	KGA54204.1	 L-aspartate oxidase [Yersinia pestis]	-0.7984747190000001
GKDD-2481-MONOMER	KGA54559.1	 tRNA-i(6)A37 thiotransferase enzyme MiaB [Yersinia pestis]	-1.127194888
GKDD-2214-MONOMER	KGA53047.1	 periplasmic murein peptide-binding protein [Yersinia pestis]	-1.077973439
GKDD-352-MONOMER	KGA54928.1	 ribosome small subunit-dependent GTPase A [Yersinia pestis]	-3.573161181
GKDD-994-MONOMER	KGA55526.1	 UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase LpxD [Yersinia pestis]	-1.5858834
GKDD-2332-MONOMER	KGA53568.1	 CRISPR type I-F/YPEST-associated protein Csy3 [Yersinia pestis]	-1.314366689
GKDD-865-MONOMER	KGA54846.1	 mechanosensitive ion channel family protein [Yersinia pestis]	-0.9914574540000001
GKDD-25-MONOMER	KGA52500.1	 ribosome biogenesis GTP-binding protein YsxC [Yersinia pestis]	-0.734274097
GKDD-3108-MONOMER	KGA52232.1	 T-protein [Yersinia pestis]	-1.398658341
GKDD-1305-MONOMER	KGA53958.1	 thioredoxin-disulfide reductase [Yersinia pestis]	-0.394971453
GKDD-1701-MONOMER	KGA54398.1	 prolyl oligopeptidase family protein [Yersinia pestis]	-0.544016517
GKDD-483-MONOMER	KGA52436.1	 hypothetical protein DJ56_362 [Yersinia pestis]	1.9763441659999998
GKDD-3123-MONOMER	KGA52195.1	 glutamate--cysteine ligase [Yersinia pestis]	1.248723692
GKDD-277-MONOMER	KGA53405.1	 trkA-N domain protein [Yersinia pestis]	-0.9112729970000001
GKDD-474-MONOMER	KGA52335.1	 LPS-assembly protein lptD [Yersinia pestis]	1.768715817
GKDD-1814-MONOMER	KGA53490.1	 thioesterase domain protein [Yersinia pestis]	-1.155182484
GKDD-837-MONOMER	KGA54889.1	 DSBA-like thioredoxin domain protein [Yersinia pestis]	-0.453709264
GKDD-1705-MONOMER	KGA54427.1	 protein YobA [Yersinia pestis]	-1.186372235
GKDD-1203-MONOMER	KGA55251.1	 50S ribosomal protein L25 [Yersinia pestis]	0.677978449
GKDD-2179-MONOMER	KGA52935.1	 NAD(P)(+) transhydrogenase (AB-specific), alpha subunit [Yersinia pestis]	-0.875283952
GKDD-22-MONOMER	KGA54620.1	 DNA polymerase I [Yersinia pestis]	-1.917442114
GKDD-349-MONOMER	KGA54994.1	 EF-P lysine aminoacylase GenX [Yersinia pestis]	-1.38975528
GKDD-1822-MONOMER	KGA53524.1	 salicylate synthase [Yersinia pestis]	-0.9969953490000001
GKDD-2493-MONOMER	KGA53847.1	 glucosamine-6-phosphate deaminase [Yersinia pestis]	-1.455584283
GKDD-2961-MONOMER	KGA47898.1	 acriflavine resistance protein A [Yersinia pestis]	-0.706360835
GKDD-2261-MONOMER	KGA55026.1	 bacterial regulatory s, lacI family protein [Yersinia pestis]	1.031048217
GKDD-3012-MONOMER	KGA47909.1	 transcriptional regulator NrdR [Yersinia pestis]	-1.2077949159999999
GKDD-48-MONOMER	KGA53116.1	 hypothetical protein DJ56_51 [Yersinia pestis]	-0.975156265
GKDD-1813-MONOMER	KGA53585.1	 AMP-binding enzyme family protein [Yersinia pestis]	-0.618029802
GKDD-3759-MONOMER	KGA52873.1	 N-acetyl-gamma-glutamyl-phosphate reductase [Yersinia pestis]	-0.765927244
GKDD-4121-MONOMER	KGA52022.1	 coagulase/fibrinolysin [Yersinia pestis]	-1.159173
